"Taxon","NRI_z","NRI_p","NRI_sd","NTI_z","NTI_p","NTI_sd","Significant"
"Proteobacteria",-6.78398447135488,0.001,0.0828973261146888,-6.2112338074698,0.001,0.083260667012726,"Yes"
"Patescibacteria",-2.03069439532592,0.022,0.0949932483350021,-3.03560221162004,0.001,0.0978970518969429,"Yes"
"Bacteroidota",-11.6241156250283,0.001,0.0672308921085748,-8.70435850021525,0.001,0.068456512130643,"Yes"
"Planctomycetota",0.57520645098511,0.723,0.308370729647664,0.0581942490069974,0.523,0.344625743641118,"No"
"Firmicutes",-4.61775055984258,0.001,0.0984106741214407,-5.32429221685441,0.001,0.10587578002446,"Yes"
"Verrucomicrobiota",-3.99085246885023,0.001,0.14912015538299,-3.10530627190838,0.003,0.166301481417952,"Yes"
"Desulfobacterota",-2.7496682782252,0.003,0.237298801091665,-1.89883612293143,0.029,0.252618427229628,"Yes"
"Myxococcota",-0.726095110684316,0.24,0.337083324383022,-0.704764227575329,0.225,0.365155563831047,"No"
"Chloroflexota",-2.79114515038061,0.004,0.12351689017331,-3.93133241449944,0.001,0.132659027123855,"Yes"
"Bdellovibrionota",-3.21721055341259,0.007,0.473704940313783,-3.3742147348453,0.003,0.452573747535232,"Yes"
"Actinobacteriota",-1.87013726642479,0.029,0.135514714628618,-3.84906560634359,0.001,0.147843682113396,"Yes"
"Acidobacteriota",-3.64219641756042,0.001,0.225850063045614,-2.49732730895299,0.01,0.252412834789015,"Yes"
"Armatimonadota",-0.926044562019019,0.169,0.332256307391037,-1.2866480862668,0.098,0.345765243738581,"No"
"Gemmatimonadota",-0.488532124069507,0.291,0.47052792414222,-0.594485177302956,0.257,0.450458446705877,"No"
"Cyanobacteria",-0.937145787963135,0.18,0.216992682897055,-1.41799947633138,0.069,0.247625310572983,"No"
"Cloacimonadota",-0.704887881923611,0.224,0.441247129898177,-0.627727064709214,0.25,0.463078642171397,"No"
"Spirochaetota",-1.78706578260825,0.037,0.326517992392705,-2.12213631377001,0.02,0.371290945818804,"Yes"
