"Taxon","NRI_p","NTI_p","NRI_z","NTI_z","Significance"
"Patescibacteria",0.017,0.011,-2.24108114013416,-2.26698784650036,"Both"
"Firmicutes",0.001,0.001,-9.69882739327475,-12.6684662976536,"Both"
"Bacteroidota",0.001,0.001,-6.23655135571386,-11.4875098907218,"Both"
"Proteobacteria",0.001,0.001,-5.90492529130707,-9.88149398629422,"Both"
"Actinobacteriota",0.001,0.001,-3.44434715066068,-6.80715750477608,"Both"
"Cyanobacteria",0.001,0.001,-4.46936072884594,-4.3082822153871,"Both"
"Planctomycetota",0.026,0.207,-1.92212392998945,-0.80045663327606,"NRI"
"Spirochaetota",0.009,0.001,-2.46222775131065,-4.21030247059868,"Both"
"Synergistota",0.001,0.001,-4.32809235569539,-4.53643926055208,"Both"
"Desulfobacterota",0.001,0.001,-7.45844896215785,-4.67906273189086,"Both"
"Elusimicrobiota",0.011,0.02,-2.34286233453741,-2.1752312436361,"Both"
"Nitrospirota",0.001,0.002,-3.73748890539159,-3.41112104393903,"Both"
"Desulfuromonadota",0.001,0.001,-4.27542797702527,-4.65113515271058,"Both"
"Verrucomicrobiota",0.027,0.018,-1.97834861917128,-2.1000658969584,"Both"
"KSB1",0.002,0.002,-3.37672129836711,-3.37868977391577,"Both"
"Acidobacteriota",0.001,0.001,-5.10869897618444,-5.69766456665637,"Both"
"Myxococcota",0.007,0.03,-2.57474206638953,-1.89041117726618,"Both"
"Thermotogota",0.006,0.009,-3.13822960755801,-3.10900946474343,"Both"
"Campylobacterota",0.001,0.001,-9.08436342719964,-6.92258994392001,"Both"
"Cloacimonadota",0.001,0.001,-4.70780946826234,-4.5797946696015,"Both"
"Chloroflexota",0.003,0.004,-3.04925740400107,-2.59487520767673,"Both"
"Aquificota",0.004,0.003,-3.45960284923277,-3.3487412840279,"Both"
"Caldisericota",0.018,0.104,-2.00785506340447,-1.25628169162852,"NRI"
"Eremiobacterota",0.069,0.062,-1.54180319637012,-1.53889987166807,"None"
"WOR-3",0.554,0.697,0.156508427815501,0.458417793302663,"None"
"Dormibacterota",0.663,0.658,0.451641267957975,0.462117960896959,"None"
"Margulisbacteria",0.408,0.451,-0.15636629131016,-0.0510713412801245,"None"
"Omnitrophota",0.001,0.002,-4.0228256063168,-3.05133503542253,"Both"
"Bdellovibrionota",0.003,0.001,-2.9904985652428,-3.25147209374746,"Both"
"Armatimonadota",0.001,0.001,-4.37946112549954,-3.57557913972833,"Both"
"Gemmatimonadota",0.021,0.029,-1.99076739076976,-1.93575665083282,"Both"
