mag,GTDB-tk_domain,GTDB-tk_phylum,GTDB-tk_class,GTDB-tk_order,GTDB-tk_family,GTDB-tk_genus,GTDB-tk_species,CHECKM_completeness,CHECKM_contamination,max.growth,max.growth.minmedia,minmedia.n.mets,C.total,num.minmedia.C.mets,growth.yield,rk.index,rk.strategy,doubling.time.minmedia
3300012250_2,Archaea,Halobacterota,Halobacteria,Halobacteriales,Haloferacaceae,Halorubrum,Halorubrum lacusprofundi,90.44,4.67,36.362458,22.98941577,16,9.345208677,5,2460.021661,5.45143687,K-strategist,0.218134569
3300013882_8,Archaea,Halobacterota,NRA6,NRA6,NRA6,UBA10521,UBA10521 sp8915u,86.58,1.31,48.28338407,27.70007815,20,80.63111908,11,343.5407876,5.019851986,K-strategist,0.20648432
3300009760_12,Archaea,Crenarchaeota,Bathyarchaeia,40CM-2-53-6,Unclassified 40CM-2-53-6,Unclassified 40CM-2-53-6,Unclassified 40CM-2-53-6,97.09,3.88,26.61839988,22.56611572,20,159.4018733,11,141.5674437,4.545812886,K-strategist,0.21936357
3300014686_2,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Unclassified Methanoperedens,72.85,1.31,53.45042921,25.33766597,32,532.4724714,22,47.5849313,4.423658734,K-strategist,0.211906806
3300017971_80,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,Unclassified UBA10214,Unclassified UBA10214,69.64,0.0,51.49286748,28.02994812,29,299.0510739,17,93.72963539,4.649948143,K-strategist,0.205783755
3300025750_18,Archaea,Halobacterota,Bog-38,Bog-38,Bog-38,Bog-38,Unclassified Bog-38,91.34,2.66,40.10983175,18.81368151,32,39.61260468,22,474.9417934,5.293536856,K-strategist,0.232103376
3300025705_27,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,Unclassified MGIIa-L1,86.18,0.0,66.25925178,22.22153343,15,17.85257485,5,1244.724283,5.140817191,K-strategist,0.220390953
3300025252_18,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Nitrosopelagicus sp000484935,57.52,0.0,40.17370532,32.06298838,15,11.49426169,5,2789.477849,5.650496919,K-strategist,0.198131806
3300026024_3,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Unclassified Nitrosopumilaceae,Unclassified Nitrosopumilaceae,72.33,3.24,25.85147929,11.29501915,19,32.41319617,8,348.4697742,4.498142072,K-strategist,0.276242935
3300027536_14,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Unclassified Methanosarcina,99.84,0.65,34.73352048,17.08885063,23,63.8807647,14,267.5116792,4.806183637,K-strategist,0.23940462
