mag,GTDB-tk_domain,GTDB-tk_phylum,GTDB-tk_class,GTDB-tk_order,GTDB-tk_family,GTDB-tk_genus,GTDB-tk_species,CHECKM_completeness,CHECKM_contamination,max.growth,max.growth.minmedia,minmedia.n.mets,C.total,num.minmedia.C.mets,growth.yield,rk.index,rk.strategy,doubling.time.minmedia
3300008123_11,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Unclassified Leptotrichia,94.32,1.3,26.04047373,8.579066507,13,11.85639685,4,723.5812546,4.394987333,K-strategist,0.306759281
3300011797_1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas diminuta,100.0,0.0,32.94941779,20.36146783,13,122.6229766,4,166.0493686,4.131106302,K-strategist,0.226401141
3300013232_46,Bacteria,Patescibacteria,ABY1,BM507,UBA917,UBA917,Unclassified UBA917,56.65,1.12,33.63844037,11.94026126,26,36.56314816,15,326.565459,4.767075336,K-strategist,0.270724294
3300009826_148,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,UBA949,Unclassified UBA949,55.05,0.85,49.422893,39.40933602,13,223.8646453,4,176.0409107,4.443272716,K-strategist,0.187384639
3300008725_6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,95.58,1.54,50.91098562,33.35327885,13,64.03773622,3,520.8378813,4.716962353,K-strategist,0.195987128
3300009773_28,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,4572-13,Unclassified 4572-13,87.5,0.0,55.97779908,5.9592826,14,6.484435025,5,919.0133877,4.437485823,K-strategist,0.357278292
3300014028_4,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Butyrivibrio sp000431815,100.0,1.34,26.57764015,9.817120521,20,71.04181622,11,138.1879158,4.173846875,K-strategist,0.291100086
3300005682_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,UBA1020,UBA1020 sp002316545,63.39,0.85,33.60830434,13.38775133,27,52.66199818,17,254.2203447,4.762366862,K-strategist,0.259958407
3300000230_18,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Unclassified Bacteroidales,Unclassified Bacteroidales,Unclassified Bacteroidales,92.86,2.01,28.63765396,18.14846513,30,9.596993554,20,1891.057342,5.836574595,K-strategist,0.234788254
3300007501_1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,80.33,0.0,48.40381367,13.40454103,19,71.2821149,10,188.0491487,4.40152332,K-strategist,0.259844752
