mag,GTDB-tk_domain,GTDB-tk_phylum,GTDB-tk_class,GTDB-tk_order,GTDB-tk_family,GTDB-tk_genus,GTDB-tk_species,CHECKM_completeness,CHECKM_contamination,max.growth,max.growth.minmedia,minmedia.n.mets,C.total,num.minmedia.C.mets,growth.yield,rk.index,rk.strategy,doubling.time.minmedia
3300007746_31,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Unclassified Saccharimonadaceae,Unclassified Saccharimonadaceae,62.39,1.71,12.11680405,0.380818332,13,3444.377838,4,0.110562299,-0.773615101,r-strategist,2.148119159
3300007801_12,Bacteria,Firmicutes,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium,Eubacterium sp000433975,89.6,0.0,18.47498925,0.30227961,14,1605.558454,5,0.188270697,-0.545838411,r-strategist,2.624401623
3300006476_1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,96.84,0.0,58.64029777,1.922215709,21,59303.45671,11,0.032413215,-0.164083079,r-strategist,0.646386222
3300007796_28,Bacteria,Firmicutes,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium,Eubacterium sp000436835,64.77,0.67,60.07612263,0.598338205,19,12460.20083,10,0.048019949,-0.541631574,r-strategist,1.478037738
3300009095_83,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Marinicellaceae,Unclassified Marinicellaceae,Unclassified Marinicellaceae,95.17,3.68,51.24596119,0.393981501,26,5003.277044,17,0.07874469,-0.277853969,r-strategist,2.086761639
3300010273_23,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Unclassified Defluviitaleaceae,Unclassified Defluviitaleaceae,91.72,1.23,37.24207575,0.328348596,24,11228.19314,15,0.029243227,-0.841548288,r-strategist,2.441204802
3300010049_47,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Unclassified Bifidobacteriaceae,Unclassified Bifidobacteriaceae,79.17,0.39,37.20220158,0.164159501,17,3208.397228,8,0.051165579,-1.172666098,r-strategist,4.560197767
3300005284_14,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Unclassified Lachnospiraceae,Unclassified Lachnospiraceae,69.37,1.06,16.02289454,0.175043392,17,1632.483172,8,0.107225235,-0.823467283,r-strategist,4.297119439
3300013126_37,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Unclassified Phormidesmiaceae,Unclassified Phormidesmiaceae,95.29,0.72,43.62269287,0.693116945,13,8753.92004,4,0.079177893,-0.658529551,r-strategist,1.316340908
3300011133_1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,99.59,3.42,64.20650043,0.653991144,17,26618.5232,7,0.024569024,-0.948942182,r-strategist,1.377502473
3300009702_36,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,Fen-1342,Unclassified Fen-1342,Unclassified Fen-1342,75.58,1.14,52.81153255,1.482129319,13,43367.70252,4,0.034175878,-0.693334227,r-strategist,0.762440194
3300012983_90,Bacteria,Spirochaetota,Spirochaetia,Unclassified Spirochaetia,Unclassified Spirochaetia,Unclassified Spirochaetia,Unclassified Spirochaetia,63.48,0.0,21.43437019,0.520707331,18,4006.762242,7,0.129957132,-0.324508148,r-strategist,1.653596297
3300010285_35,Bacteria,Firmicutes,Clostridia,Acetivibrionales,Ruminiclostridiaceae,DTU059,Unclassified DTU059,59.65,0.0,23.86936728,0.648224663,18,21088.76595,9,0.030737913,-0.746357556,r-strategist,1.387130115
3300000839_19,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Unclassified Fusobacteriaceae,Unclassified Fusobacteriaceae,89.89,3.37,38.65173818,0.759058455,13,3243.752299,4,0.234006294,-0.148437247,r-strategist,1.227289882
3300009702_37,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,UBA2778,UBA2778,Unclassified UBA2778,81.11,2.28,41.30523221,0.521726621,15,3582.065469,6,0.145649661,-0.341096275,r-strategist,1.650957256
3300011870_4,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,92.84,2.45,48.74443229,0.96574767,13,8517.883734,3,0.113378827,-0.483483115,r-strategist,1.025558829
3300002173_37,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA1179,UBA1179 sp002340405,75.39,4.47,22.89427011,0.896483047,13,5162.947101,3,0.173637852,-0.330692258,r-strategist,1.083040535
3300000160_10,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,Unclassified Marinisomatales,Unclassified Marinisomatales,Unclassified Marinisomatales,79.02,0.0,29.76272675,0.32511593,20,4462.835142,12,0.072849639,-0.5463531,r-strategist,2.462335006
3300004628_92,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Unclassified Synergistaceae,Unclassified Synergistaceae,50.0,0.0,7.771391162,0.482476614,20,3010.523518,9,0.16026336,-0.15744698,r-strategist,1.760534411
3300009029_20,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,Palsa-742,Palsa-742 sp003152015,81.2,2.14,33.8308077,0.31777734,15,7111.232288,5,0.044686677,-1.14872901,r-strategist,2.511889879
3300013125_24,Bacteria,Desulfobacterota,Desulfomonilia,Desulfomonilales,Desulfomonilaceae,Unclassified Desulfomonilaceae,Unclassified Desulfomonilaceae,91.29,3.31,33.28515086,0.596427814,16,5961.039964,6,0.100054322,-0.446055007,r-strategist,1.481816659
3300005278_18,Bacteria,Elusimicrobiota,Endomicrobia,Unclassified Endomicrobia,Unclassified Endomicrobia,Unclassified Endomicrobia,Unclassified Endomicrobia,72.88,4.49,22.43776523,0.184285281,28,4041.780642,19,0.045595072,-0.79683784,r-strategist,4.098080982
3300011382_2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter radioresistens,96.8,0.89,50.71109863,0.622095802,18,7739.208757,8,0.080382352,-0.397892033,r-strategist,1.432954163
3300000929_24,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Aquiluna,Aquiluna sp002333405,91.47,0.0,44.61826045,1.917045932,15,37070.10871,5,0.051714063,-0.304788818,r-strategist,0.647455328
3300011165_6,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas diminuta,66.54,2.76,35.85805717,0.325438177,30,10007.24051,21,0.032520271,-0.653158047,r-strategist,2.460209924
3300013125_75,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,Unclassified UBA1546,Unclassified UBA1546,80.91,1.82,42.10165691,0.243495576,16,4997.520669,7,0.048723275,-1.080674409,r-strategist,3.180647668
3300002098_11,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,PALSA-747,Unclassified PALSA-747,60.34,0.0,37.47299478,0.164058355,14,202.3582354,4,0.810732285,-0.274064189,r-strategist,4.56280601
3300013884_9,Bacteria,Synergistota,Synergistia,Synergistales,54-24,54-24,Unclassified 54-24,84.75,0.49,36.52824344,0.522000154,15,5402.015511,5,0.096630628,-0.598244561,r-strategist,1.650250784
